affirmation,tagID
 I AM EXTREMELY SPECIAL.,2
 EVERYONE FEELS LUCKY TO KNOW ME.,2
 I AM ONE OF A KIND.,2
 I AM CONFIDENT IN MYSELF AND EVERYTHING I DO.,2
 I AM HUMBLE AND DOWN TO EARTH.,2
 I NOW ATTRACT EXPERIENCES THAT REFLECT THESE AFFIRMATIONS.,2
 EVERYONE IS EQUAL AND BEAUTIFUL IN MY EYES.,2
 I SEE THE GOOD AND LOVE IN EVERY INDIVIDUAL THAT CROSSES MY PATH.,2
 I TOUCH EVERY INDIVIDUAL THAT CROSSES MY PATH IN THE MOST POSITIVE WAY.,2
 I INSPIRE OTHERS JUST BY BEING MYSELF.,2
 I AM AN AMAZING INFLUENCE ON EVERYONE THAT KNOWS ME.,2
 I MAKE EVERYONE FEEL AT EASE AND COMFORTABLE AROUND ME.,2
 EVERYBODY FEELS COMFORTABLE BEING THEMSELVES AROUND ME.,2
" I AM HELPFUL, SUPPORTIVE AND UNDERSTANDING.",2
 I AM FREE SPIRITED AND OPEN MINDED.,2
 I AM A NATURAL LEADER.,2
 I AM OPEN MINDED AND WISE.,2
 I AM EXTREMELY FUNNY.,2
 I AM GOOFY AND SPONTANEOUS.,2
 I AM AN AMAZING CONVERSATIONALIST.,2
 PEOPLE CRAVE MY FRIENDSHIP AND ATTENTION.,2
 I AM PERFECTION.,2
 I AM LOVE.,2
 I AM BEAUTY.,2
 I AM HAPPINESS,2
"THE PEACE INSIDE OF MY HEART IS THE PEACE THAT IS DEEPER THAN ALL
UNDERSTANDING",6
"LIKE THE DEPTHS OF THE OCEAN, MY MIND IS CALM AND PEACEFUL AT EACH MOMENT",6
I EXPERIENCE GRATITUDE FOR EVERYTHING I HAVE IN MY LIFE,6
I ALWAYS RECEIVE EXACTLY WHAT I ASK FOR AND APPRECIATE THAT,6
"I AM GRATEFUL FOR EXCELLENT HEALTH, PROSPERITY AND TRUE LOVE",6
MY LIFE IS FILLED WITH AN ABUNDANCE OF GOODNESS,6
GRATITUDE BRINGS ME INTO A HARMONIOUS RELATIONSHIP WITH EVERYONE.,6
"HAPPINESS EXPANDS WITHIN ME, IT LIGHTENS MY LIFE AND TOUCHES EVERYONE I
MEET",6
JOY FLOODS MY THOUGHTS AND MY LIFE,6
 I RELEASE ALL NEGATIVITY AND HOLD JOY IN MY HEART,6
 I AM OVERCOME WITH GRATITUDE FOR THE BLISS THAT FILLS MY LIFE.,6
 I ACCEPT THE GOOD THAT IS FLOWING INTO MY LIFE,6
 I DISPLAY A NATURAL SENSE OF WONDER,6
 MY WHOLE WORLD IS VIEWED THROUGH THE EYES OF WONDER AND EXCITEMENT.,6
" I VIEW LIFE THROUGH INNOCENCE, PURITY AND CURIOSITY",6
 EVERYTHING IS MYSTERIOUS AND ABSOLUTELY INCREDIBLE,6
" I AM LEARNING TO TRUST AGAIN, I LET GO AND LET GOD",6
 I AM WORTHY TO RECEIVE THE UNLIMITED OFFERINGS OF THE UNIVERSE,6
 I AFFIRM ONLY THE BEST FOR MYSELF AND OTHERS,6
" GOD’S WISDOM ILLUMINES ME, CASTING LIGHT ON MY PATH",6
 I AM SO GRATEFUL FOR SUPPORTIVE FRIENDS AND A LOVING FAMILY,6
 I APPRECIATE EVERYTHING I HAVE IN MY LIFE,6
 I AM ALWAYS OPEN TO RECEIVE MORE BLESSINGS,6
 I SEE THE BEAUTY IN NATURE THAT SURROUNDS ME,6
 I GIVE THANKS FOR THE HELPFUL PEOPLE THAT GUIDE ME IN THIS LIFE JOURNEY,6
 I AM FILLED WITH A CALM THAT COMES FROM GOD,6
 I AM GRACED WITH GOD’S CREATIVE ENERGY.,6
 I OPENLY EXPRESS THE TRUE NATURE OF THE DIVINE.,6
 I AM CREATIVELY EXPRESSING MY HIGHEST POTENTIAL.,6
" I CAN RELAX AND LET GOD DO ALL OF THE WORK, I FLOW WITH LIFE",6
" I AM A POWERFUL BODY, A POWERFUL MIND, AND A POWERFUL SOUL",6
 I AM ACCEPTED AND LOVED BY EVERYONE I MEET,6
 I LET THE PHYSICS OF UNWAVERING FAITH DO THE MARVELOUS WORK FOR ME,6
 THE DIVINE BREATH FLOWS THROUGH ME AND BLESSES ME,6
 I AM A CHANNEL FOR LOVE AND HEALING,6
" I AFFIRM DIVINE ORDER, AND ALL PARTS OF MY LIFE FALL INTO PLACE",6
 EVERYTHING I NEED COMES TO ME,6
" ALL IS WELL IN MY LIFE, I AM TRULY BLESSED",6
 ALL THINGS ARE WORKING TOGETHER FOR GOOD IN MY LIFE,6
 I DWELL IN THE PRESENCE OF GOD’S ETERNAL LOVE,6
 ALL THAT MY HEART DESIRES WILL COME TO PASS,6
" WHEN I PUT MY SPIRITUAL DEVELOPMENT FIRST, ALL OF MY OTHER NEEDS ARE
FULFILLED",6
 HIGHER WISDOM EXPRESSES ITSELF DAILY IN ALL ASPECTS OF MY LIFE,6
 LIFE IS UNFOLDING PERFECTLY,6
 LIFE HAS GREAT THINGS IN STORE FOR ME,6
 I GIVE THANKS AND PRAISE FOR ALL THINGS,6
 I WELCOME POSITIVE CHANGE INTO MY LIFE,6
 I LEARN FROM EVERY SITUATION I ENCOUNTER,6
 I AM CONTINUALLY ALIGNED WITH MY HIGHER PURPOSE,6
" AT EVERY TURN, GOOD FORTUNE APPEARS BEFORE ME",6
 MY FAITH IS MAKING ME WHOLE,6
 MY ENVIRONMENT IS PEACEFUL AND SERENE,6
 JOY IS IN MY HEART AND IN MY LIFE.,6
 I PROJECT JOY TO EVERYONE I INTERACT WITH,6
 I LIVE IN A NATURAL STATE OF JOYFULNESS,6
 I CLEARLY SEE JOY IN MY SURROUNDINGS,6
 JOY IS ABUNDANT ALL AROUND ME,6
 JOY BUILDS WITHIN MY SOUL AND BURSTS INTO MY LIFE IN UNEXPECTED WAYS,6
 I JOYFULLY HONOR THE FLOW OF LIFE,6
 DIVINE LOVE WASHES OVER ME AND DELIVERS ME TO BLISSFUL PLACES,6
 JOY IS MINE RIGHT HERE RIGHT NOW.,6
 THROUGH GRATITUDE MY WORLD EXPANDS,6
 I ACKNOWLEDGE THE BLESSINGS I HAVE RECEIVED IN MY LIFE WITH GRATITUDE,6
 I GIVE THANKS CONTINUALLY AS I MOVE THROUGH EACH DAY,6
I AM WORTHY AND OPEN TO RECEIVE BLESSINGS,4
MY LIFE IS A BLESSING TO OTHERS,4
MY DAYS ARE FILLED WITH BLESSINGS,4
I BLESS EVERYONE I MEET TODAY,4
I FEEL BLESSED TODAY,4
I TRUST MY LIFE IS DIVINELY GUIDED,4
I TRUST THE OUTCOMES IN MY LIFE ARE FOR THE BEST,4
I TRUST THAT ALL THAT I NEED COMES TO ME WHEN NEEDED,4
I FEEL SAFE TRUSTING GOD IN MY LIFE,4
 I TRUST I AM EXACTLY WHERE I AM SUPPOSED TO BE NOW,4
 I CAN TRUST LIFE,4
 I AM IN HARMONY WITH DIVINE GUIDANCE,4
 I AUTOMATICALLY LIVE IN TRUST,4
 I TRUST THAT EVERYTHING WORKS FOR THE HIGHEST GOOD,4
 I CHOOSE LOVE AS MY RESPONSE TO OTHERS,4
 I THINK LOVING THOUGHTS ABOUT EVERYONE,4
 I FEEL DIVINE LOVE IN MY HEART,4
 I MAKE CHOICES THAT ARE DEEPLY LOVING,4
 THE LOVE IN MY HEART EXPANDS AND GROWS DAILY,4
 MY INTENTIONS ARE ALWAYS LOVING AND KIND,4
 I FEEL DEEP LOVE IN MY CORE,4
 I LIVE IN AN OCEAN OF DIVINE LOVE,4
 MY LOVE IS UNCONDITIONAL,4
 I AM AN EXPRESSION OF DIVINE LOVE,4
 I LOVE THE DIVINE SPIRIT WITHIN ME,4
 POSITIVE HEALING ENERGY FLOWS EASILY THROUGH ME,4
 I AM OPEN TO RECEIVING DIVINE HEALING,4
 I TAKE GOOD CARE OF MYSELF,4
 I FEEL DIVINE HEALING,4
 MY BODY IS A HOLY TEMPLE,4
 I AM WELL TAKEN CARE OF BY GOD,4
 I RECEIVE THE HEALING PRESENCE OF GOD,4
 I AM OPEN TO RECEIVE ABUNDANT GIFTS FROM GOD,4
 I AM OPEN TO ALL POSSIBILITIES FOR ABUNDANCE,4
 I ACCEPT THE ABUNDANCE THE UNIVERSE GIVES ME,4
 I AM OPEN TO RECEIVE SOMETHING WONDERFUL TODAY,4
 I RECEIVE PROSPERITY WITHOUT LIMITS,4
 I FEEL PROSPEROUS,4
 I AM A SOURCE OF ABUNDANCE,4
 GOD'S ABUNDANCE MANIFESTS THROUGH ME,4
 I THANK GOD FOR WHAT I HAVE,4
 I AM A GRATEFUL PERSON,4
 I AM AT PEACE WITH ALL I HAVE BEEN GIVEN,4
 I AM THANKFUL FOR MY HEALING AND HEALTH,4
 I THANK GOD FOR WHAT IS REVEALED TO ME,4
 I ACKNOWLEDGE GOD IN ALL CREATION,4
 I LOVE GOD AND GOD LOVES ME,4
 I SURRENDER MY LIFE TO DIVINE WILL,4
 I FEEL THE DEEP PEACE OF GOD,4
 I ASK GOD'S ANGELS TO SURROUND ME WITH LIGHT,4
 I ALLOW GOD TO WORK THROUGH ME,4
 I AM OPEN AND RECEIVE GOD'S GUIDANCE,4
 I FEEL GOD IN MY HEART,4
 I SURRENDER INTO THE ARMS OF GOD,4
 GOD LIVES IN ME AND THROUGH ME,4
I FIND MY OWN HAPPINESS NOW,3
I LET GO OF EVERYTHING I CAN’T CONTROL,3
I AM EXPERIENCING JOY AT THE HIGHEST VIBRATION.,3
I ACCEPT PEACE AND JOY IN ALL ASPECTS OF MY LIFE.,3
MY IDEAL LIFE IS CREATED BY MY CHOICE TO BE JOYFUL NOW.,3
FOLLOWING MY JOY REVEALS THE PATH TO MY BEST LIFE.,3
MY CHOICE TO BE HAPPY KEEPS ME IN PERFECT HEALTH.,3
JOYFUL DREAMS OF LOVE SURROUND ME EVERYWHERE.,3
I CREATE THE LIFE I DESIRE WITH MY GOOD FEELINGS.,3
 EVERYTHING IS ALWAYS WORKING OUT WELL FOR ME.,3
 WHEN I FEEL HAPPY I MANIFEST MORE REASONS TO BE HAPPY.,3
 JOY IS THE ESSENCE OF MY BEING.,3
 JOY IS A HEALING CHOICE AND I CHOOSE IT FOR MYSELF NOW.,3
 I AM FRUITFUL AND I CREATE MORE LOVE AND JOY IN THE WORLD.,3
 I AM ORGANIZED AND HAVE A HOME FULL OF JOY AND PEACE.,3
 MY LIFE IS FULL OF JOY.,3
 MY INNER JOY EXPANDS WHEN I SHARE IT WITH OTHERS.,3
 I FIND HAPPINESS IN EACH MOMENT.,3
 MY HAPPINESS IS REFLECTED BACK TO ME IN EVERYTHING I ATTRACT.,3
 MY INNER JOY IS THE SOURCE OF ALL THE GOOD IN MY LIFE.,3
 I EXPERIENCE JOY IN EVERYTHING I DO.,3
" I AM LOVE, I AM ABUNDANCE, I AM JOY, I AM HAPPINESS. ",3
 I WAKE UP EVERY NEW MORNING TO LOVE AND JOY.,3
 I SMILE THROUGH MY BEAUTIFUL EYES.,3
 I AM WILLING TO BE HAPPY NOW.,3
 I ACCEPT THAT HAPPINESS IS MY TRUE NATURE.,3
 I AM WORTHY OF FEELING HAPPY.,3
 MY HAPPINESS COMES FROM WITHIN ME.,3
 I ACCEPT EVERY PART OF MYSELF WITH UNCONDITIONAL LOVE.,3
 I SEE SO MANY POSITIVES IN MY LIFE.,3
 I AM CONSTANTLY CREATING EVERYTHING MY HEART DESIRES.,3
 I FEEL HAPPY WITH MYSELF AS A PERSON.,3
 I GIVE MYSELF PERMISSION TO ENJOY MYSELF.,3
 I ALLOW MYSELF TO FEEL GOOD.,3
 THE HAPPINESS I FEEL IS FELT BY EVERYONE AROUND ME.,3
 I CREATE THE POSSIBILITY OF HAPPINESS FOR OTHERS BY BEING HAPPY.,3
 I AM MEANT TO LIVE A HAPPY LIFE.,3
ALL MY PROSPECTS BRING ME ABUNDANT GOOD FORTUNE.,1
AMAZING COINCIDENCES COME INTO MY LIFE ON A REGULAR BASIS.,1
"AT EVERY TURN, OPPORTUNITY APPEARS BEFORE ME.",1
ENDLESS OPPORTUNITIES APPEAR IN MY LIFE.,1
EVERY DAY BRINGS ME ENDLESS JOY.,1
EVERY DAY I AM SURROUNDED BY AN ABUNDANCE OF OPPORTUNITIES.,1
EVERYTHING I DO BRINGS ME GREAT SUCCESS.,1
FANTASTIC NEW OPPORTUNITIES COME INTO MY LIFE EVERY DAY.,1
FANTASTIC OPPORTUNITIES GREET ME AT EVERY TURN.,1
 GOOD NEWS VISITS ME REGULARLY.,1
 GOOD THINGS KEEP ON HAPPENING TO ME.,1
 GREAT THINGS KEEP BLESSING MY LIFE.,1
 I AFFIRM ABUNDANT BLESSINGS AND MIRACLES THROUGHOUT MY DAY.,1
 I AM A VACUUM FOR BENEFICIAL CIRCUMSTANCES.,1
 I EXPECT GREAT THINGS TO HAPPEN EVERY DAY OF MY LIFE.,1
 I EXPECT THE BEST AND I ALWAYS GET IT.,1
 I EXPERIENCE GREAT BLESSINGS AND MIRACLES EVERY DAY.,1
 I SEE ENDLESS OPPORTUNITIES BEFORE ME.,1
 I WELCOME SERENDIPITY IN MY LIFE.,1
 I AM CONSTANTLY OFFERED GREAT BUSINESS OPPORTUNITIES. ,1
 I LIVE EACH AND EVERY DAY WITH UNLIMITED BLESSINGS AND MIRACLES.,1
 MIRACLES BLESS MY LIFE EVERY DAY.,1
 MY LIFE IS CONSTANTLY ATTRACTING BLESSINGS AND MIRACLES.,1
 MY POSITIVE MINDSET ENSURES THAT I AM ALWAYS BLESSED.,1
 MY RUN OF BLESSINGS AND MIRACLES IS ENDLESS. ,1
 SERENDIPITY IS MY CONSTANT COMPANION.,1
 TERRIFIC OPPORTUNITIES COME TO ME EVERY DAY.,1
" THE SMARTER I WORK, THE MORE BLESSED I AM. ",1
 THINGS HAVE A MARVELOUS WAY OF ALWAYS WORKING OUT FOR ME.,1
 THINGS HAVE AN AMAZING WAY OF ALWAYS WORKING IN MY FAVOR.,1
 TODAY I BLESS MY BEING WITH LIMITLESS GOOD FORTUNE. ,1
 TODAY I WELCOME ABUNDANT GOOD LUCK INTO MY LIFE. ,1
" WITH EVERY BREATH I TAKE, I AM BRINGING MORE BLESSINGS INTO MY LIFE.",1
 POSITIVE THINGS ALWAYS HAPPEN TO ME.,1
 I ALWAYS THINK POSITIVELY. ,1
 MY SINCERE GRATITUDE ATTRACTSMORE THINGS TO BE THANKFUL FOR. ,1
 NEW AND EXCITING OPPORTUNITIES ARE ALWAYS COMING MY WAY. ,1
 MY THOUGHTS ARE POWERFUL AND CONSTRUCTIVE. ,1
" I ATTRACT GOOD FORTUNE, WEALTH AND PROSPERITY.",1
 I ATTRACT GREAT AND HELPFUL FRIENDS.,1
 I MAKE FRIENDS WITH SUCCESSFUL PEOPLE.,1
 I CULTIVATE A NETWORK OF SUCCESSFUL FRIENDS.,1
 I GIVE GENEROUSLY TO OTHERS. ,1
 I AM BLESSED IN EVERY ASPECT OF MY LIFE.,1
 I ATTRACT SUCCESSFUL PEOPLE WHO GENEROUSLY SHARE WITH ME.,1
 I AM CONSTANTLY OFFERED GREAT JOBS.,1
 I ATTRACT ALL MANNER OF GOOD THINGS TO ME. ,1
 I AM A FORTUNATE AND BLESSED PERSON.,1
 I EXPECT THE BEST AND I GET IT.,1
 WHATEVER IS GOOD FOR ME IS COMING TO ME EASILY AND EFFORTLESSLY. ,1
 I ALWAYS GET EVERYTHING THAT IS FOR MY HIGHEST GOOD. ,1
 LIFE ALWAYS GIVES ME WHAT IS BEST FOR ME. ,1
 I DESERVE THE BEST AND IT COMES TO ME AT THE RIGHT TIME. ,1
 I ATTRACT MY GREATEST GOOD NOW. ,1
 MY HIGHEST GOOD IS MANIFESTING IN MY LIFE RIGHT NOW. ,1
 I ATTRACT WONDERFUL EXPERIENCES. ,1
 I FEEL GREAT JOY AND HAPPINESS.,1
 MIRACLES MANIFEST EVERY DAY IN WONDROUS WAYS. ,1
 I AM SO HAPPY AND GRATEFUL THAT I AM A MAGNET FOR MIRACLES. ,1
 MY LIFE IS PROPELLED BY A VISION TO MAKE THE WORLD A BETTER PLACE. ,1
 I AM EXTREMELY LUCKY IN EVERY AREA OF MY LIFE. ,1
" I CHOOSE TO BEHOLD A WORLD OF ABUNDANCE, JOY, AND ENDLESS GIVING. ",1
 I DESERVE MIRACLES. ,1
" I EXPERIENCE EASE, JOY, AND LIGHTNESS. ",1
 I CELEBRATE THE MIRACLE OF LIFE EVERY DAY. ,1
 I AM BLESSED WITH PERFECT HEALTH. ,1
 MIRACLES ARE A NATURAL PART OF LIVING AND GIVING. ,1
 MY AWARENESS OF MY WHOLENESS ATTRACTS ABUNDANCE INTO MY LIFE. ,1
 EVERYTHING MIRACULOUS IS RESTORED TO ME NOW. ,1
 MY LOVING THOUGHTS GIVE ME ALL THAT I WANT. ,1
 THE BRILLIANT LIGHT WITHIN ME DISPELS ALL LACK IN MY LIFE. ,1
 I AM EXPERIENCING WONDERFUL MIRACLES OF LOVE AND FRIENDSHIP. ,1
 TODAY IS FULL OF MIRACLES. ,1
 GREAT RELATIONSHIPS COME TO ME. ,1
 DIVINE HEALTH IS MINE. ,1
 I AM DIVINELY GUIDED IN ALL THAT I DO. ,1
 MY THOUGHTS AND ACTIONS ARE EMPOWERED WITH SUPERNATURAL LUCK. ,1
 MIRACLES NOW FOLLOW MIRACLES AND GOD'S BLESSINGS NEVER CEASE.,1
ALL THE CELLS OF MY BODY ARE REJUVENATED AND RESTORED WHILE I SLEEP.,5
"AS I GO TO SLEEP, I GIVE THANKS FOR ANOTHER FANTASTIC DAY.",5
"AS I LAY DOWN TO SLEEP, A BEAUTIFUL SENSE OF DEEP RELAXATION FILLS MY BODY.",5
"AS I PREPARE TO FALL ASLEEP, I RELAX IN KNOWING THAT MY MIND IS AT PEACE.",5
"AS SOON AS MY HEAD FINDS THE PILLOW, I AM OFF INTO A RESTFUL SLEEP.",5
EVERY NIGHT I RELAX THROUGH MEDITATION AND FALL DEEPLY AND SOUNDLY ASLEEP.,5
"FALLING ASLEEP IS EASY FOR ME, I JUST TURN OFF THE LIGHT AND DRIFT AWAY.",5
I ALWAYS AWAKEN RESTED AND ENERGIZED.,5
I ALWAYS FALL ASLEEP QUICKLY.,5
 I ALWAYS GET A GOOD NIGHT’S SLEEP AND WAKE UP REFRESHED EVERY MORNING.,5
 I ALWAYS GET THE SLEEP I NEED.,5
" I ALWAYS SLEEP SOUNDLY, NO MATTER WHERE I AM. ",5
 I ALWAYS SLEEP WELL.,5
 I ALWAYS THINK HAPPY THOUGHTS AS I AM FALLING ASLEEP.,5
 I AM ABLE TO FALL ASLEEP IN MINUTES.,5
 I AM AN EARLY RISER.,5
 I AM A DEEP SLEEPER. ,5
 I AWAKE EACH MORNING RELAXED AND REFRESHED.,5
 I CAN EASILY SLEEP ANYWHERE I AM.,5
 I DRIFT OFF TO PEACEFUL SLEEP WITH GREAT EASE.,5
 I DRIFT OFF TO SLEEP VERY QUICKLY.,5
 I FALL ASLEEP VERY FAST.,5
 I GIVE MY BODY ALL THE REST IT NEEDS.,5
 I HAPPILY ALLOW MYSELF TO FALL INTO A DEEP AND SATISFYING SLEEP.,5
 I HAPPILY GIVE MY BODY ALL THE REST IT NEEDS.,5
 I KNOW EXACTLY HOW MUCH SLEEP MY BODY NEEDS TO PERFORM PERFECTLY.,5
 I LET MY BODY REST WHENEVER IT NEEDS IT.,5
 I LOOK AFTER MYSELF SO WELL THAT I REQUIRE VERY LITTLE SLEEP.,5
 I LOVE WAKING UP EARLY EVERY DAY.,5
 I MAKE SURE THAT I GET AS MUCH SLEEP AS MY BODY NEEDS.,5
 I NEED VERY LITTLE SLEEP BECAUSE I LOOK AFTER MYSELF WHEN AWAKE.,5
 I ONLY TAKE AS MUCH SLEEP AS MY BODY REQUIRES TO MAINTAIN ITSELF.,5
 I SLEEP EASILY AND PEACEFULLY EVERY NIGHT.,5
 I SLEEP IN PEACE AND AWAKE INVIGORATED.,5
 I SLEEP IN TRANQUILITY AND AWAKEN REVIVED.,5
 I SLEEP SOUNDLY AND PEACEFULLY.,5
 I WAKE UP EACH MORNING REFRESHED AND TRANSFORMED.,5
 I WAKE UP EARLY EVERY DAY AND FEEL REFRESHED AND ALIVE.,5
" I WAKE UP EASILY, WITHOUT AN ALARM CLOCK.",5
 I WAKE UP EVERY MORNING FEELING REFRESHED AND RENEWED.,5
 MY BED IS COMFORTABLE AND MY SLEEP IS RESTORING.,5
 MY BEDROOM IS A SANCTUARY FOR SLEEP.,5
 MY BODY RE-ENERGIZES ITSELF WHILE I AM ASLEEP.,5
 MY DREAMS ARE ALWAYS POSITIVE.,5
 MY DREAMS ARE ALWAYS UPLIFTING.,5
 MY DREAMS ARE INTUITIVE AND ENLIGHTENING.,5
 MY SLEEP IS ALWAYS RESTFUL. ,5
 MY SLEEP IS RESTFUL AND I AWAKE FEELING REJUVENATED.,5
 SIMPLE RELAXATION IS ALL I NEED TO DO TO FALL ASLEEP EASILY.,5
 SIX HOURS SLEEP IS ALL I NEED TO FEEL REFRESHED AND ALERT THE NEXT DAY.,5
 SIX HOURS SLEEP IS ALL I NEED TO MAINTAIN PERFECT HEALTH AND FOCUS.,5
" THE MORE I RELAX, THE MORE SLEEPY I FEEL.",5
" WHEN I AWAKE, I AM FILLED WITH OPTIMISM AND POSITIVE WELL-BEING.",5
" WHEN I AWAKE, I AM FULL OF ENERGY AND ENTHUSIASM.",5
" WHEN I AWAKE, I FEEL REJUVENATED AND INVIGORATED.",5
" WHEN I GO TO BED, I ALLOW MY MIND TO RELEASE ALL NEGATIVE EMOTIONS.",5
" WHEN I GO TO BED, I FALL ASLEEP EASILY.",5
" WHEN I GO TO BED, I LET MY MIND AND BODY BECOME COMPLETELY RELAXED.",5
" WHEN I LAY DOWN TO SLEEP, I GIVE THANKS FOR ANOTHER AMAZING DAY.",5
" WHEN I LAY DOWN TO SLEEP, I REFLECT ON ALL THE GOOD THINGS IN MY LIFE.",5
" WHEN I LAY DOWN TO SLEEP, I THINK OF ALL THE POSITIVE THINGS I DID TODAY.",5
" WHEN I SLEEP, MY BODY IS HEALED, RESTORED AND FILLED WITH ENERGY.",5
" WHILE I SLEEP, MY BODY REPAIRS AND REBUILDS ITSELF.",5
" WHILE I SLEEP, MY BODY REBUILDS AND REGENERATES ITSELF WITH EASE.",5
